,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,EUR,1.1440000000000001,40

Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
,51092,,UNIFLEX TUBES 0555.060.100.100,SET,32.538,32.538,1,"{""sharedFormula"":""I5""}",1,32.538,EUR(€) ,,1488.9388800000002,0.22625805000287705,KABELSCHLEPP ,1.4284836191529904,46.48,46.48,46.48,"{""sharedFormula"":""U5""}",1.144,36.19,1924.3352127999995,1924.3352127999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 2.22 kgs
,51056,,UNIFLEX TUBES 0555.060.075.230,SET,30.73400000000001,30.73400000000001,1,"{""sharedFormula"":""I5""}",1,30.73400000000001,EUR(€) ,,1406.3878400000003,0.22638112358866094,KABELSCHLEPP ,1.428710873950673,43.91,43.91,43.91,"{""sharedFormula"":""U5""}",1.144,36.19,1817.9337175999997,1817.9337175999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 1.98 kgs
,51055,,UNIFLEX TUBES 0555.060.075.200,SET,30.73400000000001,30.73400000000001,1,"{""sharedFormula"":""I5""}",1,30.73400000000001,EUR(€) ,,1406.3878400000003,0.22638112358866094,KABELSCHLEPP ,1.428710873950673,43.91,43.91,43.91,"{""sharedFormula"":""U5""}",1.144,36.19,1817.9337175999997,1817.9337175999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 1.98 kgs
,51054,,UNIFLEX TUBES 0555.060.075.160,SET,30.73400000000001,30.73400000000001,1,"{""sharedFormula"":""I5""}",1,30.73400000000001,EUR(€) ,,1406.3878400000003,0.22638112358866094,KABELSCHLEPP ,1.428710873950673,43.91,43.91,43.91,"{""sharedFormula"":""U5""}",1.144,36.19,1817.9337175999997,1817.9337175999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 1.98 kgs
,51053,,UNIFLEX TUBES 0555.060.075.125,SET,30.73400000000001,30.73400000000001,1,"{""sharedFormula"":""I5""}",1,30.73400000000001,EUR(€) ,,1406.3878400000003,0.22638112358866094,KABELSCHLEPP ,1.428710873950673,43.91,43.91,43.91,"{""sharedFormula"":""U5""}",1.144,36.19,1817.9337175999997,1817.9337175999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 1.98 kgs
,51052,,UNIFLEX TUBES 0555.060.075.100,SET,30.73400000000001,30.73400000000001,1,"{""sharedFormula"":""I5""}",1,30.73400000000001,EUR(€) ,,1406.3878400000003,0.22638112358866094,KABELSCHLEPP ,1.428710873950673,43.91,43.91,43.91,"{""sharedFormula"":""U5""}",1.144,36.19,1817.9337175999997,1817.9337175999997,"{""sharedFormula"":""Z5""}",,TKG,,,weight 1.98 kgs
,51046,,UNIFLEX TUBES 0555.060.050.230,SET,28.952,28.952,1,"{""sharedFormula"":""I5""}",1,28.952,EUR(€) ,,1324.8435200000004,0.22630560928433233,KABELSCHLEPP ,1.4285714285714284,41.36,41.36,41.36,"{""sharedFormula"":""U5""}",1.144,36.19,1712.3602495999996,1712.3602495999996,"{""sharedFormula"":""Z5""}",,TKG,,,weight 1.72 kgs
,51045,,UNIFLEX TUBES 0555.060.050.200,SET,28.952,28.952,1,"{""sharedFormula"":""I5""}",1,28.952,EUR(€) ,,1324.8435200000004,0.22630560928433233,KABELSCHLEPP ,1.4285714285714284,41.36,41.36,41.36,"{""sharedFormula"":""U5""}",1.144,36.19,1712.3602495999996,1712.3602495999996,"{""sharedFormula"":""Z5""}",,TKG,,,weight 1.72 kgs
,51044,,UNIFLEX TUBES 0555.060.050.160,SET,28.952,28.952,1,"{""sharedFormula"":""I5""}",1,28.952,EUR(€) ,,1324.8435200000004,0.22630560928433233,KABELSCHLEPP ,1.4285714285714284,41.36,41.36,41.36,"{""sharedFormula"":""U5""}",1.144,36.19,1712.3602495999996,1712.3602495999996,"{""sharedFormula"":""Z5""}",,TKG,,,weight 1.72 kgs
,51043,,UNIFLEX TUBES 0555.060.050.125,SET,28.952,28.952,1,"{""sharedFormula"":""I5""}",1,28.952,EUR(€) ,,1324.8435200000004,0.22630560928433233,KABELSCHLEPP ,1.4285714285714284,41.36,41.36,41.36,"{""sharedFormula"":""U5""}",1.144,36.19,1712.3602495999996,1712.3602495999996,"{""sharedFormula"":""Z5""}",,TKG,,,weight 1.72 kgs
