,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD,1.16688,38
Category,Part No. ,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New) Make same Price as Standard Price (THB)
=JPY/USD*Mul.","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
A15,5042,BL1023-JL,BL1023-MLJL,PC,887,887,1,"{""sharedFormula"":""I6""}",0.333,295.37100000000004,JPY(¥),,87.85515024000001,0.4864674407294832,THB DRIVE CHAIN,0.370913190529876,329,329,329,"{""sharedFormula"":""U5""}",0.52,1,171.08,171.08,"{""sharedFormula"":""Z5""}",,TC
A15,0042,BL1023,BL1023-RP,LINK,444,444,1,"{""sharedFormula"":""I6""}",0.333,147.852,JPY(¥),,43.97709888000001,0.4874463999999999,THB DRIVE CHAIN,0.3716216216216216,165,165,165,"{""sharedFormula"":""U5""}",0.52,1,85.8,85.8,"{""sharedFormula"":""Z5""}",,TC
A15,5043,BL1034-JL,BL1034-MLJL,PC,1070,1070,1,"{""sharedFormula"":""I6""}",0.333,356.31,JPY(¥),,105.9808464,0.48533000000000004,THB DRIVE CHAIN,0.37009345794392523,396,396,396,"{""sharedFormula"":""U5""}",0.52,1,205.92000000000002,205.92000000000002,"{""sharedFormula"":""Z5""}",,TC
A15,0043,BL1034,BL1034-RP,LINK,622,622,1,"{""sharedFormula"":""I6""}",0.333,207.126,JPY(¥),,61.60755744000001,0.4893272758620689,THB DRIVE CHAIN,0.3729903536977492,232,232,232,"{""sharedFormula"":""U5""}",0.52,1,120.64,120.64,"{""sharedFormula"":""Z5""}",,TC
A15,5044,BL1046-JL,BL1046-MLJL,PC,1280,1280,1,"{""sharedFormula"":""I6""}",0.333,426.24,JPY(¥),,126.78082560000001,0.484546976744186,THB DRIVE CHAIN,0.36953125,473,473,473,"{""sharedFormula"":""U5""}",0.52,1,245.96,245.96,"{""sharedFormula"":""Z5""}",,TC
A15,0044,BL1046,BL1046-RP,LINK,860,860,1,"{""sharedFormula"":""I6""}",0.333,286.38,JPY(¥),,85.18086720000002,0.4864910344827585,THB DRIVE CHAIN,0.37093023255813956,319,319,319,"{""sharedFormula"":""U5""}",0.52,1,165.88,165.88,"{""sharedFormula"":""Z5""}",,TC
A15,5045,BL1223-JL,BL1223-MLJL,PC,1200,1200,1,"{""sharedFormula"":""I6""}",0.333,399.6,JPY(¥),,118.85702400000002,0.4840379232505643,THB DRIVE CHAIN,0.36916666666666664,443,443,443,"{""sharedFormula"":""U5""}",0.52,1,230.36,230.36,"{""sharedFormula"":""Z5""}",,TC
A15,0045,BL1223,BL1223-RP,LINK,727,727,1,"{""sharedFormula"":""I6""}",0.333,242.091,JPY(¥),,72.00754704,0.48329831343283586,THB DRIVE CHAIN,0.3686382393397524,268,268,268,"{""sharedFormula"":""U5""}",0.52,1,139.36,139.36,"{""sharedFormula"":""Z5""}",,TC
A15,5046,BL1234-JL,BL1234-MLJL,PC,1460,1460,1,"{""sharedFormula"":""I6""}",0.333,486.18,JPY(¥),,144.6093792,0.48500933333333335,THB DRIVE CHAIN,0.3698630136986301,540,540,540,"{""sharedFormula"":""U5""}",0.52,1,280.8,280.8,"{""sharedFormula"":""Z5""}",,TC
A15,0046,BL1234,BL1234-RP,LINK,1020,1020,1,"{""sharedFormula"":""I6""}",0.333,339.66,JPY(¥),,101.02847040000003,0.48328319148936155,THB DRIVE CHAIN,0.3686274509803922,376,376,376,"{""sharedFormula"":""U5""}",0.52,1,195.52,195.52,"{""sharedFormula"":""Z5""}",,TC
A15,5047,BL1246-JL,BL1246-MLJL,PC,1830,1830,1,"{""sharedFormula"":""I6""}",0.333,609.39,JPY(¥),,181.25696160000004,0.48512395864106345,THB DRIVE CHAIN,0.3699453551912568,677,677,677,"{""sharedFormula"":""U5""}",0.52,1,352.04,352.04,"{""sharedFormula"":""Z5""}",,TC
A15,0047,BL1246,BL1246-RP,LINK,1350,1350,1,"{""sharedFormula"":""I6""}",0.333,449.55,JPY(¥),,133.714152,0.48571479999999995,THB DRIVE CHAIN,0.37037037037037035,500,500,500,"{""sharedFormula"":""U5""}",0.52,1,260,260,"{""sharedFormula"":""Z5""}",,TC
A15,5048,BL1423-JL,BL1423-MLJL,PC,1560,1560,1,"{""sharedFormula"":""I6""}",0.333,519.48,JPY(¥),,154.51413120000004,0.48502155979202766,THB DRIVE CHAIN,0.3698717948717949,577,577,577,"{""sharedFormula"":""U5""}",0.52,1,300.04,300.04,"{""sharedFormula"":""Z5""}",,TC
A15,0048,BL1423,BL1423-RP,LINK,1040,1040,1,"{""sharedFormula"":""I6""}",0.333,346.32,JPY(¥),,103.00942080000002,0.48680041450777195,THB DRIVE CHAIN,0.37115384615384617,386,386,386,"{""sharedFormula"":""U5""}",0.52,1,200.72,200.72,"{""sharedFormula"":""Z5""}",,TC
A15,5049,BL1434-JL,BL1434-MLJL,PC,1980,1980,1,"{""sharedFormula"":""I6""}",0.333,659.34,JPY(¥),,196.11408960000003,0.4833664657534246,THB DRIVE CHAIN,0.3686868686868687,730,730,730,"{""sharedFormula"":""U5""}",0.52,1,379.6,379.6,"{""sharedFormula"":""Z5""}",,TC
A15,0049,BL1434,BL1434-RP,LINK,1430,1430,1,"{""sharedFormula"":""I6""}",0.333,476.19,JPY(¥),,141.63795360000003,0.48607418867924523,THB DRIVE CHAIN,0.3706293706293706,530,530,530,"{""sharedFormula"":""U5""}",0.52,1,275.6,275.6,"{""sharedFormula"":""Z5""}",,TC
A15,5050,BL1446-JL,BL1446-MLJL,PC,2470,2470,1,"{""sharedFormula"":""I6""}",0.333,822.51,JPY(¥),,244.64737440000002,0.4858188852459016,THB DRIVE CHAIN,0.37044534412955465,915,915,915,"{""sharedFormula"":""U5""}",0.52,1,475.8,475.8,"{""sharedFormula"":""Z5""}",,TC
A15,0050,BL1446,BL1446-RP,LINK,1980,1980,1,,0.333,659.34,JPY(¥),,196.11408960000003,0.4833664657534246,THB DRIVE CHAIN,0.3686868686868687,730,730,730,,0.52,1,379.6,379.6,,,TC
